x,y,z
0,0,3.0000
0,20,3.0000
0,40,3.0000
0,60,3.0000
0,80,3.0000
0,100,3.0000
0,120,3.0000
0,140,3.0000
0,160,3.0000
0,180,3.0000
0,200,3.0000
20,0,2.8500
20,20,2.8500
20,40,2.8500
20,60,2.8500
20,80,2.8500
20,100,2.8500
20,120,2.8500
20,140,2.8500
20,160,2.8500
20,180,2.8500
20,200,2.8500
40,0,2.7000
40,20,2.7000
40,40,2.7000
40,60,2.7000
40,80,2.7000
40,100,2.7000
40,120,2.7000
40,140,2.7000
40,160,2.7000
40,180,2.7000
40,200,2.7000
60,0,2.5500
60,20,2.5500
60,40,2.5500
60,60,2.5500
60,80,2.5500
60,100,2.5500
60,120,2.5500
60,140,2.5500
60,160,2.5500
60,180,2.5500
60,200,2.5500
80,0,2.4000
80,20,2.4000
80,40,2.4000
80,60,2.4000
80,80,2.4000
80,100,2.4000
80,120,2.4000
80,140,2.4000
80,160,2.4000
80,180,2.4000
80,200,2.4000
100,0,2.2500
100,20,2.2500
100,40,2.2500
100,60,2.2500
100,80,2.2500
100,100,2.2500
100,120,2.2500
100,140,2.2500
100,160,2.2500
100,180,2.2500
100,200,2.2500
120,0,2.1000
120,20,2.1000
120,40,2.1000
120,60,2.1000
120,80,2.1000
120,100,2.1000
120,120,2.1000
120,140,2.1000
120,160,2.1000
120,180,2.1000
120,200,2.1000
140,0,1.9500
140,20,1.9500
140,40,1.9500
140,60,1.9500
140,80,1.9500
140,100,1.9500
140,120,1.9500
140,140,1.9500
140,160,1.9500
140,180,1.9500
140,200,1.9500
160,0,1.8000
160,20,1.8000
160,40,1.8000
160,60,1.8000
160,80,1.8000
160,100,1.8000
160,120,1.8000
160,140,1.8000
160,160,1.8000
160,180,1.8000
160,200,1.8000
180,0,1.6500
180,20,1.6500
180,40,1.6500
180,60,1.6500
180,80,1.6500
180,100,1.6500
180,120,1.6500
180,140,1.6500
180,160,1.6500
180,180,1.6500
180,200,1.6500
200,0,1.5000
200,20,1.5000
200,40,1.5000
200,60,1.5000
200,80,1.5000
200,100,1.5000
200,120,1.5000
200,140,1.5000
200,160,1.5000
200,180,1.5000
200,200,1.5000
220,0,1.3500
220,20,1.3500
220,40,1.3500
220,60,1.3500
220,80,1.3500
220,100,1.3500
220,120,1.3500
220,140,1.3500
220,160,1.3500
220,180,1.3500
220,200,1.3500
240,0,1.2000
240,20,1.2000
240,40,1.2000
240,60,1.2000
240,80,1.2000
240,100,1.2000
240,120,1.2000
240,140,1.2000
240,160,1.2000
240,180,1.2000
240,200,1.2000
260,0,1.0500
260,20,1.0500
260,40,1.0500
260,60,1.0500
260,80,1.0500
260,100,1.0500
260,120,1.0500
260,140,1.0500
260,160,1.0500
260,180,1.0500
260,200,1.0500
280,0,0.9000
280,20,0.9000
280,40,0.9000
280,60,0.9000
280,80,0.9000
280,100,0.9000
280,120,0.9000
280,140,0.9000
280,160,0.9000
280,180,0.9000
280,200,0.9000
300,0,0.7500
300,20,0.7500
300,40,0.7500
300,60,0.7500
300,80,0.7500
300,100,0.7500
300,120,0.7500
300,140,0.7500
300,160,0.7500
300,180,0.7500
300,200,0.7500
320,0,0.6000
320,20,0.6000
320,40,0.6000
320,60,0.6000
320,80,0.6000
320,100,0.6000
320,120,0.6000
320,140,0.6000
320,160,0.6000
320,180,0.6000
320,200,0.6000
340,0,0.4500
340,20,0.4500
340,40,0.4500
340,60,0.4500
340,80,0.4500
340,100,0.4500
340,120,0.4500
340,140,0.4500
340,160,0.4500
340,180,0.4500
340,200,0.4500
360,0,0.3000
360,20,0.3000
360,40,0.3000
360,60,0.3000
360,80,0.3000
360,100,0.3000
360,120,0.3000
360,140,0.3000
360,160,0.3000
360,180,0.3000
360,200,0.3000
380,0,0.1500
380,20,0.1500
380,40,0.1500
380,60,0.1500
380,80,0.1500
380,100,0.1500
380,120,0.1500
380,140,0.1500
380,160,0.1500
380,180,0.1500
380,200,0.1500
400,0,0.0000
400,20,0.0000
400,40,0.0000
400,60,0.0000
400,80,0.0000
400,100,0.0000
400,120,0.0000
400,140,0.0000
400,160,0.0000
400,180,0.0000
400,200,0.0000
